20 120
0 1 2
1 2 1
2 3 5
3 4 4
4 5 4
5 6 3
6 7 2
7 8 9
8 9 2
9 10 7
10 11 1
11 12 1
12 13 2
13 14 4
14 15 4
15 16 9
16 17 1
17 18 9
18 19 4
19 0 9
13 7 14
18 8 0
5 13 10
8 4 6
10 3 2
12 3 11
11 19 8
1 14 3
12 2 9
19 11 6
2 1 7
9 2 7
3 12 8
14 11 5
6 8 2
19 5 7
5 14 12
8 17 7
10 1 7
1 10 12
8 2 6
18 10 6
15 12 14
4 8 4
7 17 8
18 13 12
11 7 4
16 15 2
1 3 4
19 2 12
12 19 14
16 8 0
3 17 8
9 13 5
14 0 8
16 5 3
9 16 6
4 11 5
17 16 0
19 10 15
0 3 11
9 7 1
7 18 2
2 15 2
17 4 4
15 17 5
8 16 13
6 17 6
9 12 11
14 16 14
3 7 7
2 10 0
18 17 7
18 7 0
7 2 1
10 2 7
8 15 6
15 7 15
13 6 3
3 13 11
14 1 3
1 12 10
17 14 4
13 5 8
14 7 2
14 17 3
1 17 0
2 7 5
13 15 15
6 12 1
5 12 0
12 8 14
17 15 4
6 9 6
1 18 1
1 16 2
5 2 2
7 12 3
1 19 2
13 18 10
8 6 10
12 4 9
14 10 2
0 14 3
2 17 6
11 9 5
9 19 0
17 9 3
19 6 10
8 1 2
13 8 1
0 10 4
8 5 14
17 13 0
3 2 4
17 1 11
4 13 4
1 9 11
1 11 6
7 3 11
