60 1200
0 1 9
1 2 3
2 3 4
3 4 9
4 5 7
5 6 9
6 7 8
7 8 1
8 9 1
9 10 8
10 11 5
11 12 3
12 13 1
13 14 1
14 15 8
15 16 5
16 17 5
17 18 7
18 19 6
19 20 4
20 21 9
21 22 5
22 23 1
23 24 3
24 25 9
25 26 2
26 27 5
27 28 2
28 29 7
29 30 2
30 31 3
31 32 9
32 33 5
33 34 7
34 35 4
35 36 9
36 37 6
37 38 6
38 39 5
39 40 8
40 41 5
41 42 4
42 43 6
43 44 6
44 45 4
45 46 8
46 47 6
47 48 1
48 49 3
49 50 1
50 51 8
51 52 1
52 53 1
53 54 3
54 55 7
55 56 9
56 57 8
57 58 7
58 59 9
59 0 2
50 56 15
41 4 12
1 57 9
43 7 6
52 24 14
22 24 0
53 49 -5
7 29 6
59 12 9
0 14 -5
48 17 6
12 5 14
40 19 2
14 31 6
2 17 10
57 45 14
13 0 1
52 40 7
7 55 3
36 32 10
10 35 1
42 47 13
38 36 0
4 37 -1
47 4 -1
16 59 13
54 14 11
46 50 3
12 54 -5
44 43 12
39 16 12
56 29 -5
27 41 15
3 54 5
27 54 8
17 7 11
29 31 6
33 48 -4
56 46 2
3 17 8
34 28 5
0 25 1
21 5 13
51 1 2
44 27 -3
58 15 1
10 21 4
4 40 15
6 1 10
27 51 -5
37 51 15
59 21 3
15 6 10
15 21 -4
52 21 11
50 15 -3
49 38 14
28 48 -2
40 28 13
7 5 -4
58 2 7
20 56 -3
50 8 -4
58 51 9
3 19 14
40 27 -3
6 43 -4
35 3 4
54 24 7
6 39 8
14 55 14
50 42 14
0 29 7
29 50 8
56 39 14
6 21 15
43 50 -5
29 33 5
37 12 -2
6 0 14
45 4 13
50 53 1
57 36 -1
40 32 3
22 26 10
46 39 9
11 15 -1
51 2 -4
8 19 13
27 32 15
48 22 4
37 56 12
49 9 -1
30 19 14
21 18 6
0 33 13
9 3 2
32 52 12
54 3 8
22 12 1
40 58 1
50 4 5
12 42 10
29 38 5
54 37 13
21 39 4
26 21 0
6 29 -4
31 14 -5
40 14 2
29 39 1
15 30 5
51 47 7
13 25 0
52 0 6
0 4 6
1 35 -2
9 18 9
12 40 13
58 48 6
2 1 1
12 18 0
14 56 3
46 11 5
54 35 2
1 11 3
58 6 -5
53 43 -1
24 41 -2
21 59 1
19 29 2
23 51 6
42 10 11
51 39 8
56 45 -3
7 9 -1
50 12 1
34 24 6
20 38 8
40 15 -4
48 39 13
34 18 -1
20 15 -4
40 50 3
55 8 11
31 13 -3
50 30 14
4 10 11
24 48 15
48 32 6
31 33 9
11 20 6
33 44 10
45 31 10
17 37 7
50 37 15
2 13 2
57 12 9
55 15 7
13 19 8
56 24 13
10 59 6
16 35 -3
8 48 -3
18 28 11
22 14 13
2 29 11
39 21 8
27 26 6
51 31 5
17 24 -5
11 28 2
16 41 -3
22 57 -3
18 53 11
32 34 15
5 50 3
59 14 -2
7 4 6
2 34 1
21 12 5
16 19 3
12 45 14
8 54 12
58 16 -5
49 19 4
52 22 7
25 52 13
48 41 -5
30 41 11
48 9 7
13 30 2
33 37 12
48 29 9
21 50 -3
20 54 1
27 49 8
13 28 9
1 23 -1
36 55 -1
19 47 -5
31 51 6
21 14 8
27 43 7
44 34 4
20 37 -5
36 50 -4
59 8 -1
21 36 15
51 38 14
25 24 1
25 4 12
24 12 10
36 28 15
57 19 -3
10 6 12
11 2 14
31 1 0
12 4 7
18 13 2
18 42 11
4 29 -4
23 33 -5
10 20 8
25 10 -2
8 34 8
30 47 -3
24 57 1
8 55 1
19 27 10
10 38 13
19 37 1
32 45 9
17 12 -5
9 28 -3
52 25 14
51 15 11
21 58 13
56 31 9
29 36 -4
47 5 4
41 56 9
22 44 4
25 39 0
26 15 0
57 39 8
29 24 0
44 36 -2
25 44 -4
15 56 0
17 56 15
42 58 -3
44 46 1
58 31 8
48 35 -2
23 4 -2
32 49 5
26 28 0
16 13 11
1 4 15
47 29 7
21 47 7
54 12 7
2 0 3
7 45 -1
20 42 9
31 29 -3
5 35 2
45 28 -1
30 52 3
53 10 0
53 1 14
6 11 4
7 34 7
10 4 -5
43 17 -1
28 22 0
13 45 -4
57 43 12
44 3 15
51 33 15
42 45 -2
24 44 4
28 3 14
0 3 7
49 12 2
23 58 2
1 26 -5
0 21 1
43 42 -3
6 51 0
46 10 -4
26 32 -2
52 20 5
35 40 1
39 13 12
25 27 -2
14 13 -2
22 20 0
41 20 -5
24 13 9
14 4 3
41 39 6
2 4 1
26 19 14
31 6 12
50 59 13
10 16 -2
38 20 15
44 24 -1
21 11 15
48 56 5
54 42 10
4 21 -5
38 58 13
28 24 11
40 47 2
32 37 -5
14 1 14
48 57 -2
19 15 8
48 15 14
5 3 -1
23 31 4
12 9 7
13 41 -4
15 59 14
28 47 5
8 17 5
41 50 -4
33 50 8
41 52 4
48 1 2
54 46 5
21 15 1
34 3 2
51 43 2
38 55 7
33 20 0
28 40 -5
4 55 10
4 12 -4
40 9 1
8 5 0
37 35 1
15 32 -3
27 46 9
19 10 1
15 27 0
38 15 4
18 36 9
40 12 3
55 50 10
5 23 7
24 10 10
28 27 11
39 47 8
52 50 10
1 48 7
5 48 4
38 34 -1
35 46 0
16 24 9
18 24 12
38 30 -3
21 8 10
58 12 -5
0 55 11
25 59 8
25 47 6
24 31 4
41 37 -3
26 56 -4
58 7 7
59 36 0
12 48 8
16 49 6
31 40 6
41 24 8
47 15 2
30 2 6
40 45 -5
44 42 15
9 16 14
29 43 -1
16 15 14
37 42 0
0 7 -3
41 45 7
25 45 13
57 5 11
56 27 0
53 27 3
44 19 11
34 42 7
37 19 8
59 46 -3
6 40 13
49 51 6
52 9 3
47 13 7
0 10 10
0 6 -3
49 44 8
33 26 15
18 46 8
23 11 -1
12 31 0
32 7 9
36 52 1
3 47 0
51 48 1
16 57 8
58 39 -2
55 40 0
5 18 -3
24 7 3
1 37 2
43 48 -2
17 48 -5
42 37 -4
6 13 11
50 0 7
38 33 3
59 31 10
48 21 14
27 21 6
43 56 5
20 52 2
23 42 7
24 39 -4
22 55 5
51 6 -5
29 55 7
46 53 -1
1 38 -2
55 33 3
44 48 2
23 28 14
55 30 11
26 42 1
0 40 5
1 40 6
55 2 5
43 28 2
38 31 7
47 39 -3
22 27 10
42 54 -2
46 24 4
38 12 -1
56 36 11
2 8 10
50 5 4
35 55 9
10 57 9
7 30 12
13 10 -3
6 27 -5
59 20 7
49 17 2
46 16 10
57 42 -2
42 8 12
40 46 10
44 21 2
49 59 14
4 41 5
24 58 7
50 35 8
51 14 2
16 7 4
5 7 -3
37 59 1
47 7 13
23 8 5
24 36 -5
19 3 13
34 12 7
27 20 6
59 50 -1
33 42 14
37 14 -2
25 0 12
54 29 5
9 52 4
53 14 10
43 29 -1
38 18 -1
47 42 -4
19 32 -2
17 54 13
30 40 1
31 18 7
3 51 5
45 13 2
44 47 -4
59 55 0
54 31 7
19 52 0
25 21 8
43 30 6
48 25 7
4 33 4
18 44 1
44 54 12
25 6 -1
20 48 13
55 51 -4
54 59 4
29 41 0
36 8 9
44 30 4
57 9 1
13 51 1
47 41 -5
23 46 13
50 54 -1
24 27 0
59 3 -2
22 30 0
3 7 11
41 21 13
27 9 15
46 25 2
2 7 2
25 31 4
44 38 0
41 47 7
42 5 9
55 52 15
24 17 15
41 28 6
7 31 15
32 14 -5
37 36 13
30 17 -2
11 24 10
41 44 8
19 36 -1
6 20 -3
45 58 12
11 25 -5
25 35 12
33 31 -3
33 53 13
34 45 15
7 48 1
42 57 -2
11 55 14
44 11 -5
35 28 5
7 2 -1
36 13 15
10 5 12
16 54 -4
32 19 6
34 10 8
42 0 2
19 2 11
57 50 4
42 34 9
8 36 10
44 20 11
58 22 14
34 32 1
44 6 -4
15 2 1
9 19 1
8 38 12
13 37 6
17 8 14
27 4 12
57 10 7
29 5 3
43 27 -1
34 13 -3
17 40 15
23 36 15
52 32 14
10 26 -1
20 50 8
24 1 14
15 4 3
7 43 12
26 4 5
40 5 6
58 21 3
9 55 2
17 0 -2
24 14 7
6 50 -2
11 33 4
37 52 10
6 33 6
55 18 12
17 38 -2
57 3 0
24 11 6
38 56 7
30 37 -1
16 0 11
45 9 -1
9 24 13
47 17 -4
58 46 15
23 45 2
43 38 8
45 29 0
51 29 11
18 17 8
33 45 2
19 40 -3
19 26 5
54 5 15
5 4 2
5 10 13
3 5 4
35 59 10
51 55 -5
32 59 -1
32 43 12
44 7 7
0 39 1
58 53 -5
45 27 12
47 22 2
58 52 11
2 38 9
10 43 11
57 14 0
4 23 -1
32 22 -4
27 31 7
10 23 -2
43 15 12
54 49 -2
30 18 3
47 40 13
25 13 4
41 32 -4
59 29 14
3 22 -5
39 29 5
19 22 -2
0 22 0
25 22 -5
31 12 -3
33 32 -1
26 7 10
0 9 3
14 30 7
23 19 6
27 57 0
34 51 3
6 28 9
10 8 6
47 27 -5
22 56 1
7 12 4
47 21 -4
10 42 1
30 42 3
7 26 10
35 31 -1
56 25 11
46 59 7
8 7 -2
50 1 -1
9 22 11
0 49 2
3 43 5
27 38 -5
27 30 4
18 31 -3
48 27 2
39 9 11
17 49 -2
55 16 2
42 52 8
12 30 -2
32 39 0
37 40 15
9 14 -2
8 25 -4
59 9 8
1 39 1
5 55 -4
24 26 11
19 44 15
21 27 10
3 32 8
41 3 4
7 17 6
17 22 8
15 20 -4
20 13 4
58 38 -2
27 11 3
31 23 5
19 7 -2
43 35 -1
21 23 6
47 49 13
33 38 6
15 41 3
24 5 -2
8 40 14
37 58 15
52 12 1
59 6 -3
34 39 5
19 46 10
48 12 12
46 9 -4
8 12 8
35 45 3
57 56 12
7 58 8
4 30 8
33 59 11
17 44 -1
18 2 13
3 50 1
47 52 7
31 43 12
55 32 -3
10 28 11
24 35 7
25 38 3
13 11 -5
10 36 1
37 44 -5
56 59 11
29 32 11
18 45 3
35 7 0
14 2 12
15 18 -4
56 17 -1
17 55 -4
41 15 1
34 7 -5
41 22 15
38 23 5
